enabled,priority_rank,source_origin,source_type,source_ref,source_title,source_language,author_name,channel_url,description,keywords,published,published_at,published_post_ids
true,1,bibleproject_shorts_ru,short,https://www.youtube.com/shorts/bjSypPQkhLA,1 Peter 4:17-19 in modern translation #bible #biblevision,en,ICOC Insights,https://www.youtube.com/@biblevisionru/shorts,,,,,
true,2,bibleproject_shorts_ru,short,https://www.youtube.com/shorts/kmpfZLRqd7Y,Psalm 89:50-53 in modern translation #bible #biblevision,en,ICOC Insights,https://www.youtube.com/@biblevisionru/shorts,,,,,
true,3,bibleproject_shorts_ru,short,https://www.youtube.com/shorts/nX_oQMa86fQ,Psalm 68:2-4 in modern translation #bible #biblevision,en,ICOC Insights,https://www.youtube.com/@biblevisionru/shorts,,,,,
true,4,bibleproject_shorts_ru,short,https://www.youtube.com/shorts/_kplXPRtV3o,James 3:12-13 in modern translation #bible #biblevision,en,ICOC Insights,https://www.youtube.com/@biblevisionru/shorts,,,,,
true,5,bibleproject_shorts_ru,short,https://www.youtube.com/shorts/-3oHfpX-i74,Psalm 58:15-18 in modern translation #bible #biblevision,en,ICOC Insights,https://www.youtube.com/@biblevisionru/shorts,,,,,
true,6,bibleproject_shorts_ru,short,https://www.youtube.com/shorts/VA6_oSvUeJo,Psalm 89:47-49 in modern translation #bible #biblevision,en,ICOC Insights,https://www.youtube.com/@biblevisionru/shorts,,,,,
true,7,bibleproject_shorts_ru,short,https://www.youtube.com/shorts/XNvEq52Etyc,1 Peter 4:14-16 in modern translation #bible #biblevision,en,ICOC Insights,https://www.youtube.com/@biblevisionru/shorts,,,,,
true,8,bibleproject_shorts_ru,short,https://www.youtube.com/shorts/MjjxOyL3DQY,James 3:4-7 in modern translation #bible #biblevision,en,ICOC Insights,https://www.youtube.com/@biblevisionru/shorts,,,,,
true,9,bibleproject_shorts_ru,short,https://www.youtube.com/shorts/iEMTVvSFx0Y,Psalm 129:1-4 in modern translation #bible #biblevision,en,ICOC Insights,https://www.youtube.com/@biblevisionru/shorts,,,,,
true,10,bibleproject_shorts_ru,short,https://www.youtube.com/shorts/6m_DryAW9-Q,Psalm 89:39-46 in modern translation #bible #biblevision,en,ICOC Insights,https://www.youtube.com/@biblevisionru/shorts,,,,,
true,11,bibleproject_shorts_ru,short,https://www.youtube.com/shorts/N1Bc6jdme8g,Psalm 58:11-14 in modern translation #bible #biblevision,en,ICOC Insights,https://www.youtube.com/@biblevisionru/shorts,,,,,
true,12,bibleproject_shorts_ru,short,https://www.youtube.com/shorts/-dYX72XmOjE,Psalm 104:39-45 in modern translation #bible #biblevision,en,ICOC Insights,https://www.youtube.com/@biblevisionru/shorts,,,,,
true,13,bibleproject_shorts_ru,short,https://www.youtube.com/shorts/S30e_U_LoP0,1 Peter 4:12-13 in modern translation #bible #biblevision,en,ICOC Insights,https://www.youtube.com/@biblevisionru/shorts,,,,,
true,14,bibleproject_shorts_ru,short,https://www.youtube.com/shorts/FogJeKZOveM,Psalm 58:7-10 in modern translation #bible #biblevision,en,ICOC Insights,https://www.youtube.com/@biblevisionru/shorts,,,,,
true,15,bibleproject_shorts_ru,short,https://www.youtube.com/shorts/5cKEftTh-vE,James 3:1-3 in modern translation #bible #biblevision,en,ICOC Insights,https://www.youtube.com/@biblevisionru/shorts,,,,,
true,16,bibleproject_shorts_ru,short,https://www.youtube.com/shorts/C0y65EgJ-aE,Psalm 104:24-38 in modern translation #bible #biblevision,en,ICOC Insights,https://www.youtube.com/@biblevisionru/shorts,,,,,
